epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
,7.201923076923077e-05,7.201923076923077e-05,749,,,
14,,,749,0.7326912879943848,,
14,,,794,,0.4651980996131897,0.33730804920196533
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
,7.682692307692308e-05,7.682692307692308e-05,799,,,
15,,,799,0.23136936128139496,,
15,,,847,,0.468790203332901,0.3442750573158264
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
,8.163461538461539e-05,8.163461538461539e-05,849,,,
